5712,-1140,13932,39,796,-1817
436,-2760,18492,-542,54,-1049
-180,-1524,15612,-696,-382,916
7516,-1968,14748,1232,483,-706
1704,-3768,17320,-1324,1731,-2391
2100,-2148,15636,139,-408,-479
1036,-3880,18572,-119,-1134,4220
6344,-2080,14904,358,-544,-130
532,-3040,17312,-1344,945,-2153
5628,-3300,15248,-348,-1691,-1085
-3312,-1284,14564,-1068,-301,1925
2848,-1360,16876,-549,-329,2578
5572,-3376,16644,1876,-1910,-3
1756,-1640,16276,1198,419,-2203
4652,-4524,16384,-1589,-385,-1175
-1612,-1684,16244,-1765,-2470,3401
1864,-3288,19184,57,-2089,3568
5772,-1680,13992,882,-9,-2061
1636,-3032,16440,-1958,190,-1066
6480,-4836,17144,18,-353,-1492
-3260,-1280,18120,-552,-3655,3141
6628,-2632,14920,1451,229,-1048
-460,-2660,16420,-1299,958,-2018
3052,-2700,17368,-43,-1450,225
3360,-1832,15528,-61,572,-331
2136,-2000,15740,-570,-862,151
5048,-2548,15892,109,-766,469
3224,-2800,16516,-768,309,-1050
3060,-2500,16260,-766,144,-1067
1168,-3144,17128,-530,-322,-184
6344,-2764,16236,-293,-295,-791
288,-1848,16180,56,3,-608
1700,-2868,16916,-839,-1878,2140
6916,-2152,16800,706,-906,1976
4920,-2348,16564,1812,-571,766
4640,-1808,15676,-1038,361,-1584
2316,-2600,16812,-682,818,-2128
1828,-2068,16540,-1251,309,-639
4560,-2912,16352,-136,1556,-899
-668,-1856,16432,-321,-269,23
4280,-3644,17088,-18,-1587,3063
6000,-1740,14936,1471,59,144
3308,-1396,14900,-551,18,-967
2236,-2756,16088,-1301,710,-1929
1948,-3048,16816,-522,-565,-702
720,-2276,16556,-350,590,-570
2008,-3540,16892,-74,-1535,2050
7888,-2696,15812,1228,-1236,988
2172,-1652,15784,-1126,1043,-2787
2888,-2880,17552,-1006,57,-1308
5104,-1984,16392,26,-2047,-1004
-1564,-1300,16524,-151,187,166
2592,-1768,17980,30,-1915,3164
6984,-1848,14664,267,761,-1656
2388,-2740,16968,-706,-958,722
3380,-2232,16404,-189,-467,-222
7488,-2580,16476,808,371,-904
432,-1560,15496,-1154,-395,1764
6388,-2464,17940,362,-1284,986
2872,-1872,14924,-1087,786,-1214
2720,-3192,16932,-1928,809,-1251
1668,-2240,16332,-264,-854,69
3960,-3184,16780,-785,-1952,2387
4272,-2440,16196,773,492,-494
1260,-2688,17460,-605,-60,-330
-316,-1736,15812,-381,-372,78
4916,-3008,15660,117,-1414,501
2748,-2840,16428,-746,-129,-532
2280,-2584,16088,546,-702,-1103
480,-1924,15852,-690,-542,1405
4432,-2204,17080,856,-926,941
6164,-3512,15856,417,-175,-51
1104,-2876,16268,-1807,925,-2468
4264,-2664,16784,-27,-597,-773
3252,-2660,16496,-206,-540,-258
3048,-1944,16208,-194,-315,-310
2852,-1132,16404,-458,-493,-1
3452,-1168,16348,-937,-516,230
3364,-1772,16476,-709,-349,-80
2876,-2092,16116,-178,-355,-209
3208,-2164,15984,-2,-482,-139
3360,-2668,15788,166,-386,-388
2856,-2448,15820,267,-383,-446
2852,-1764,15876,-159,-500,-38
3520,-1464,16316,-637,-471,84
3400,-1432,16432,-794,-320,-86
2912,-1624,16496,-641,-483,-39
3188,-2120,15908,-416,-479,46
3428,-2608,15836,35,-304,-353
2920,-2504,15780,349,-309,-517
2788,-2204,15608,25,-549,-104
3576,-1556,16212,-578,-509,59
3372,-1384,16620,-778,-312,-129
2760,-1268,16420,-689,-452,71
3280,-1848,16088,-594,-547,116
3528,-2468,16172,-184,-310,-333
2808,-2508,15896,305,-309,-502
2784,-2688,15300,303,-547,-242
3368,-2636,15748,-13,-471,-238
3136,-1760,16228,-231,-314,-312
2880,-1328,16232,-445,-500,47
3520,-1044,16608,-973,-534,258
3432,-1804,16512,-637,-323,-154
2820,-1944,16216,-361,-350,-139
3156,-2164,15956,-272,-470,-3
3496,-2464,15740,187,-328,-424
3032,-2620,15612,287,-308,-475
2748,-2184,15576,88,-550,-120
3492,-1552,16208,-592,-516,34
3476,-1308,16856,-739,-259,-101
2784,-1272,16428,-690,-428,82
3176,-1956,16068,-572,-563,98
3508,-2484,15972,58,-255,-372
2800,-2624,15744,376,-308,-548
2788,-2276,15424,191,-638,-175
3436,-1932,16024,-382,-510,-47
3288,-1448,16540,-578,-298,-156
2808,-1148,16560,-738,-424,134
3400,-1288,16348,-974,-556,258
3472,-2300,16328,-409,-283,-280
2852,-2460,15868,38,-292,-315
2952,-2360,15436,173,-532,-159
3480,-2764,15724,105,-473,-343
3044,-2296,15856,99,-323,-466
2736,-1276,16004,-380,-491,38
3456,-1220,16608,-954,-508,259
3496,-1544,16584,-809,-326,-129
2800,-1960,16392,-455,-374,-104
3248,-2128,15860,-420,-553,28
3456,-2544,16012,118,-294,-410
