Accelerometer Readings :
3.031,1.616,9.83
2.825,1.479,8.649
2.781,1.304,8.798
2.461,1.412,7.691
2.678,1.436,8.518
2.796,1.654,9.385
2.674,1.747,9.641
3.038,1.489,10.242
2.829,1.288,8.882
2.923,1.642,10.35
3.21,1.395,9.658
3.052,1.747,9.538
3.189,1.762,10.266
3.208,1.326,10.151
2.884,1.551,8.903
2.832,1.728,9.464
3.136,1.405,9.586
2.906,1.611,9.864
3.057,1.465,9.267
3.076,1.441,8.91
2.973,1.661,9.88
3.023,1.436,9.701
2.901,1.724,10.163
2.944,1.498,9.32
2.889,1.359,9.329
2.832,1.7,9.899
3.117,1.599,9.696
2.827,1.668,9.373
3.179,1.472,9.37
3.196,1.225,9.193
2.935,1.568,9.495
2.887,1.714,8.333
3.031,1.783,9.634
3.131,1.367,8.992
3.167,1.462,9.32
3.105,1.513,8.786
2.925,1.915,8.695
2.817,1.558,7.998
3.27,1.695,10.8
2.726,1.685,8.604
2.963,1.764,9.507
3.244,2.047,10.503
3.454,1.812,9.047
3.213,1.697,8.776
3.098,1.91,8.601
2.755,1.635,8.007
3.258,2.26,9.478
3.306,1.06,6.096
3.478,1.343,11.119
2.87,1.115,7.049
3.747,1.304,10.97
2.446,1.522,7.38
3.332,1.137,9.255
3.019,1.086,10.187
3.282,1.295,10.649
3.196,1.154,9.404
3.445,1.752,10.999
3.941,1.611,11.499
3.459,1.472,8.712
3.835,1.635,10.316
3.591,1.213,8.448
3.66,1.601,8.937
3.064,1.848,9.305
3.241,1.515,8.185
2.805,1.223,8.637
2.846,1.173,7.991
2.81,1.048,8.4
2.71,1.707,9.49
2.722,1.228,8.089
2.829,1.376,9.432
3.174,1.633,10.326
2.712,1.537,8.865
3.081,1.688,9.504
3.241,1.41,9.825
2.872,1.812,9.274
3.493,1.731,9.856
3.217,1.582,9.533
3.086,1.64,8.853
3.016,1.348,8.628
3.019,1.58,9.727
2.983,1.625,8.793
3.138,1.587,9.689
3.007,1.225,9.353
2.849,1.434,9.133
2.686,1.359,9.682
2.667,1.218,9.255
2.489,1.453,9.909
2.31,1.348,10.084
2.674,1.142,9.933
2.614,1.254,10.218
2.295,1.019,9.337
2.223,1.254,9.871
2.441,1.391,10.161
2.559,1.228,9.138
2.274,1.197,9.94
2.41,1.261,9.579
2.111,1.237,8.496
2.523,1.259,10.256
2.734,1.163,9.976
2.255,1.036,8.438
2.231,0.928,9.385
1.989,1.47,9.737
2.305,1.407,8.779
2.367,1.391,9.382
2.37,1.165,9.792
2.305,0.981,8.853
2.039,1.132,9.044
2.554,1.07,9.648
2.487,0.823,9.004
2.312,0.742,8.747
2.422,0.928,9.303
1.665,1.168,8.254
2.204,1.429,8.249
2.255,1.668,9.856
2.597,1.055,9.612
2.252,0.916,9.425
2.216,0.924,9.416
2.758,0.725,9.049
2.264,1.338,9.971
2.458,0.267,9.622
2.669,1.036,9.59
2.346,1.154,10.034
2.372,0.866,9.104
1.912,1.348,8.326
2.305,1.879,10.704
2.456,0.983,10.999
2.463,0.971,7.926
2.554,0.526,9.619
2.587,1.247,10.896
2.085,1.163,8.328
2.602,1.415,10.307
2.614,1.288,10.671
2.693,1.072,9.423
2.635,1.245,11.471
2.499,1.278,10.505
2.681,0.811,8.551
2.326,1.094,9.317
2.441,1.292,10.39
2.456,1.113,9.143
1.879,1.297,8.187
2.458,1.57,9.753
2.686,1.115,10.12
1.869,1.036,7.758
2.068,1.235,8.898
2.851,1.225,11.198
2.451,0.521,7.689
1.994,0.643,7.813
2.82,1.053,12.055
1.912,0.926,6.834
1.304,1.673,5.387
2.314,1.424,12.117
2.834,1.051,10.122
1.912,1.352,6.812
1.821,1.077,10.156
2.358,0.981,9.799
2.626,1.283,8.946
1.965,0.548,9.447
2.128,1.039,9.852
2.302,0.991,9.339
1.699,1.235,9.684
1.651,0.375,9.389
1.895,0.684,9.547
2.307,1.209,8.944
2.468,0.54,11.449
3.1,1.441,12.68
2.516,0.315,8.47
2.226,0.89,7.277
3.201,1.048,12.196
2.954,1.589,9.344
2.37,1.915,5.96
3.239,2.236,12.591
3.759,1.091,10.575
3.002,1.817,4.994
3.174,1.827,10.532
3.842,1.553,12.805
2.583,0.497,6.525
3.483,0.734,7.945
3.371,1.882,12.417
3.32,1.831,8.637
2.559,1.204,6.348
2.968,1.338,8.221
3.05,1.968,10.11
3.316,1.795,8.3
3.397,1.11,9.643
2.791,1.64,8.398
2.575,1.34,9.452
3.601,1.609,9.983
3.198,1.542,9.351
2.492,1.412,7.186
3.316,1.046,8.836
3.308,1.759,11.53
2.793,1.259,8.288
3.007,1.446,7.011
3.486,2.104,10.074
3.167,1.216,11.241
3.316,1.879,9.883
3.498,1.369,8.067
3.126,1.989,9.914
3.433,1.752,10.996
3.383,0.794,7.655
2.894,1.807,8.022
3.677,1.532,11.65
3.601,1.779,9.88
3.445,1.63,9.238
3.342,1.388,10.673
3.438,1.707,8.484
3.165,1.563,7.885
3.821,1.599,11.159
3.567,1.089,9.413
3.22,1.7,7.694
3.177,1.747,9.418
3.562,1.268,8.822
3.191,1.688,8.462
3.557,1.46,9.502
3.692,1.553,9.511
2.882,1.85,9.315
3.514,1.005,8.731
3.431,1.23,8.458
3.292,1.525,8.441
3.596,1.577,10.707
3.663,1.324,8.908
3.663,1.187,9.104
3.332,1.204,8.949
3.143,1.417,8.745
3.663,1.63,9.964
3.411,1.24,9.638
3.349,1.029,8.86
3.617,1.889,10.287
3.553,1.381,9.727
3.337,1.276,8.601
3.763,1.417,10.352
3.433,1.395,8.862
3.237,1.906,9.056
3.466,1.707,11.346
3.567,1.3,7.437
3.239,1.716,8.47
3.83,1.728,11.703
3.387,1.961,9.111
3.809,1.211,8.29
3.459,1.127,10.081
3.407,1.376,7.72
3.371,1.427,8.963
3.514,1.731,9.471
3.272,1.4,8.206
3.052,1.613,8.721
3.371,1.7,9.212
3.737,1.388,9.341
3.126,1.379,8.618
3.625,0.976,8.597
3.49,1.53,10.486
3.332,1.106,8.609
3.294,1.01,6.978
3.337,1.398,10.122
3.795,1.144,10.824
3.562,1.455,8.28
3.306,1.403,9.013
3.646,1.355,9.327
3.474,1.319,9.921
3.409,1.563,9.492
3.004,1.513,8.347
3.27,1.405,8.546
3.277,1.537,9.195
3.098,1.621,8.846
3.241,1.348,10.072
3.174,1.474,8.886
3.272,1.621,8.084
3.565,1.283,9.808
2.575,1.204,8.233
2.147,1.994,8.352
2.968,1.35,6.946
2.214,1.18,8.427
1.603,1.101,6.709
1.78,1.139,6.903
1.299,0.31,7.646
2.482,1.278,10.125
2.655,0.686,10.405
1.723,0.538,6.575
2.271,0.04,8.577
2.427,0.315,10.788
2.381,0.979,10.537
2.796,1.453,11.669
2.535,2.131,10.481
2.674,1.079,10.649
