x,y,z
0.121921375,-0.14107643,-0.03230165
0.08680242,-0.14936662,-0.009955038
0.039977368,-0.1255498,-0.011018757
-0.012168809,-0.06549781,-0.029111292
-0.054737125,0.0018067489,-0.06103736
-0.07389285,0.045295425,-0.102541424
-0.06112223,0.07222506,-0.13552974
-0.020682419,0.07842697,-0.14936727
0.031463623,0.046332363,-0.15043034
0.078288674,0.0059481086,-0.14723824
0.10595814,-0.017866977,-0.14936662
0.12724237,-0.034429085,-0.14830115
0.14852633,-0.017868575,-0.14298177
0.17619592,0.048406374,-0.13553068
0.20918624,0.11156811,-0.12595296
0.23579146,0.11985056,-0.11318274
0.23898408,0.07636189,-0.10999012
0.21025036,0.02044127,-0.10679923
0.15916844,-0.0044042254,-0.10147677
0.0995729,0.0090529295,-0.09189985
0.04636261,0.0742952,-0.083383836
0.011243651,0.16230257,-0.073807314
-0.008976055,0.25135392,-0.0652929
-0.031324398,0.3145154,-0.049329933
-0.047287498,0.28035223,-0.01527363
-0.05048025,0.1467686,0.024099
-0.027067525,-0.037533507,0.050705947
0.017629026,-0.21770331,0.07837474
0.07403194,-0.34506106,0.114558354
0.12724224,-0.40512383,0.13584071
0.1708748,-0.41650632,0.12732896
0.20386511,-0.40201634,0.09433691
0.22195671,-0.32746428,0.047511727
0.22408536,-0.18145496,-0.0067596203
0.19854426,-0.011650006,-0.058907926
0.15916857,0.1302061,-0.10998972
0.11127913,0.20785673,-0.12914744
0.07509619,0.19854866,-0.1067963
0.0676467,0.1271006,-0.06954964
0.08148156,0.038057372,-0.030172747
0.109150894,-0.044779688,0.013459287
0.13788448,-0.10069484,0.05283458
0.14746234,-0.0996579,0.083697066
0.1357561,-0.06652396,0.09433904
0.10595841,-0.036489904,0.094340645
0.06338996,0.010097596,0.08369666
0.019757394,0.0629042,0.057091188
-0.017489664,0.090861976,0.014523005
-0.045159128,0.0898265,-0.031237664
-0.061122097,0.08982917,-0.07380531
-0.06644322,0.075328015,-0.10998972
-0.047287498,0.012170408,-0.13340098
-0.008976055,-0.073773734,-0.13872263
0.03891338,-0.14313886,-0.13446337
0.08786667,-0.19492264,-0.12701693
0.12830661,-0.22805272,-0.12382312
0.1495907,-0.22287469,-0.12382299
0.14639822,-0.2042367,-0.118501864
0.121921375,-0.18145722,-0.122758865
0.07616044,-0.13486692,-0.13020957
0.02827127,-0.095507614,-0.14829783
-0.0025908148,-0.087237954,-0.17809926
-0.015361163,-0.08826224,-0.19405943
-0.023874905,-0.08101912,-0.18341865
-0.028131777,-0.07894817,-0.16426294
-0.034517016,-0.08101792,-0.14936368
-0.045158863,-0.057194572,-0.11637123
-0.056865226,-0.0074978545,-0.0791251
-0.0632506,0.029771853,-0.07699833
-0.05580111,0.040130183,-0.10466673
-0.035581134,0.021490999,-0.13233647
-0.010040173,-0.014750963,-0.14085047
0.011243917,-0.059268184,-0.12701401
0.022950014,-0.111051306,-0.0929621
0.031463757,-0.16282164,-0.057842877
0.037848998,-0.15867668,-0.029108362
0.03678488,-0.10068712,-0.023786174
0.022950148,-0.03856578,-0.05358534
-0.0025905482,0.03599735,-0.107857086
-0.04303076,0.12709941,-0.16213603
-0.083470576,0.20786418,-0.19512647
-0.11539664,0.2741446,-0.20257278
-0.14519434,0.33731338,-0.1876722
-0.17073543,0.37354815,-0.14723384
-0.18776266,0.36008888,-0.07380318
-0.20798263,0.32488492,0.027296817
-0.22820273,0.27413768,0.12413688
-0.23565196,0.19856104,0.20289107
-0.219689,0.11675347,0.25184277
-0.17818493,0.05048305,0.2646127
-0.12391025,-0.0054222452,0.2518445
-0.06750747,-0.0468509,0.21353011
-0.026003275,-0.063410744,0.17415641
-0.005783302,-0.08101672,0.16777024
-0.0025906814,-0.10896957,0.19224815
-0.007911671,-0.106902085,0.22098081
-0.011104291,-0.054094415,0.23055866
-0.0015262971,0.032891728,0.22098307
0.0037946922,0.13126288,0.19331467
-0.006847553,0.19441302,0.15712853
-0.028131511,0.19752477,0.11881855
-0.048351616,0.1778452,0.08476225
-0.06750721,0.17578463,0.063480824
-0.068571456,0.17059861,0.052836448
-0.05792948,0.16852807,0.048579708
-0.045158863,0.16853192,0.04325965
-0.030260013,0.1322933,0.041131817
-0.013232527,0.048426893,0.039004512
0.003794559,-0.030268406,0.036875743
0.02295028,-0.0665109,0.03687521
0.035720762,-0.062373005,0.027296416
0.0399775,-0.026133176,0.0060120597
0.037849132,0.017355368,-0.02272139
0.03252814,0.052561324,-0.05464746
0.027207019,0.08776262,-0.0908316
0.025078783,0.10330897,-0.12807493
0.03146389,0.048416767,-0.15255524
0.055940736,-0.061335534,-0.16213189
0.08999544,-0.14312832,-0.16213003
0.1272425,-0.18662792,-0.15255497
0.16555408,-0.23218128,-0.12807652
0.19535178,-0.28292188,-0.086573526
0.20173702,-0.32744682,-0.026978128
0.17832442,-0.36472866,0.025166448
0.13788462,-0.38336012,0.061351255
0.088931054,-0.3781829,0.092213206
0.043170255,-0.3688623,0.116690315
